	Site	Site_Main geographic region	Site_Country	Site_Province / Region	Site_Locality	Site_Latitude	Site_Longitude	Site_Site type	Site_description	Site_Quantity	Site_note	Individual	Individual_Archaeologist group	Individual_Archaeologist ID	Individual_Date	Individual_Datation method	Individual_Age	Individual_Gender	Individual_Linked individuals	Individual_description	Individual_Quantity	Individual_note	Skeleton Element	Skeleton Element_Storage	Skeleton Element_Exportation Permit Number	Skeleton Element_Bone type	Skeleton Element_Skeleton element	Skeleton Element_Archaeologist sample ID	Skeleton Element_Observation Drilling	Skeleton Element_Pictures Labelling	Skeleton Element_Observation Labelling	Skeleton Element_Pictures Drilling	Skeleton Element_description	Skeleton Element_Quantity	Skeleton Element_note	Extract	Extract_Storage	Extract_Date of drilling	Extract_Person in charge	Extract_Laboratory where processed	Extract_Extract Type	Extract_Conservation	Extract_Pathology description	Extract_Pathology	Extract_Taken for extraction	Extract_Extraction Comment	Extract_density UDG treatment (ng/uL)	Extract_Volume UDG treatment (uL)	Extract_mass UDG in Tube (ng)	Extract_Extracted	Extract_description	Extract_Quantity	Extract_note	Non Indexed Library	Non Indexed Library_Storage	Non Indexed Library_Person in charge	Non Indexed Library_Date of preparation	Non Indexed Library_Labroatory where prepared	Non Indexed Library_UDG treatment type	Non Indexed Library_SSB and Adapters dilution type	Non Indexed Library_Temporary UDG treated extract location	Non Indexed Library_Initial Volume (uL)	Non Indexed Library_Remaining Volume (uL)	Non Indexed Library_description	Non Indexed Library_Quantity	Non Indexed Library_note	Indexed Library	Indexed Library_Storage	Indexed Library_Person in charge	Indexed Library_Laboratory where processed	Indexed Library_Date of preparation	Indexed Library_qPCR	Indexed Library_number of Ct	Indexed Library_Date of qPCR	Indexed Library_qPCR Comment 	Indexed Library_Dual Unique Index ID	Indexed Library_Indexing PCR (# cycles)	Indexed Library_Density QC-1 nmol/L	Indexed Library_Number of QC performed	Indexed Library_Density QC-1 ng/uL	Indexed Library_QC-1 Elution Volume of Library (uL)	Indexed Library_QC-1 Average Read Length (bp)	Indexed Library_Library Profile	Indexed Library_QC-1 date	Indexed Library_Volume taken for indexing (uL)	Indexed Library_Indexing PCR date	Indexed Library_Sample well in library profile file	Indexed Library_description	Indexed Library_Quantity	Indexed Library_note
432	Jarillal	San Juan	Argentina	San Juan	nan	nan	nan	-	Nothing entered	1.0Unit	Updated from API	AR0285	Gustavo Neme / Fito Gil / Eva Peralta	2516/1-Sitio 2-Cuerpo 8	- (from site spreadsheet)	NA	>20 años (adulto)	NA	Nothing entered	Nothing entered	1.0Unit	Updated from API	AR0285.2	With Lumila	/pasteur/entites/metapaleo/Research/ERC-project/Samples/ExportPermits/GilNemePeralta/EX-2021-12182773_and_EX-2021-21974530	Petrous	Petrous	Ja2-B8-2	NA	/pasteur/gaia/entites/metapaleo/Research/ERC-project/Samples/pictures/NemeGilPerralta/EX-2021-1218773_EX-202-21974530/SanJuan/AR0285	NA	NA	/	1.0Unit	Updated from API	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
433	LAS GRUTAS (Buque Sur)	San Matías Gulf	Argentina	Río Negro	Las Grutas	-40.82021	-65.104732	nan	Nothing entered	1.0Unit	Updated from API	AR0364	Cristian Favier Dubois / Florencia Borella	BS IV	2300+49	C14 ??	NA	NA	Nothing entered	Nothing entered	1.0Unit	Updated from API	AR0364.1	Unknown	SanMatias_1aTanda	Petrous	Petrous	NR05	we don't know	noPicture	NA	NA	nan	1.0Unit	Updated from API	AR0364.1.01	Unknown	1900-01-01	Maria Lopopolo	Hannes Schroeder	petrous	no information about those	Nothing entered	maybe	yes	we don't know	100000.0	100000.0	10000000000.0	yes	Nothing entered	1000000.0Gram	Updated from API	AR0364.1.0100	Freezer 4, drawer 5, UDG-SCR libraries no... 2	Maria Lopopolo	2021-07-15	Copenhagen	partial	c4	not kept	50	30		3.5e-05Liter		AR0364.1.0101	Sequencing	Maria Lopopolo	Copenhagen	2021-07-21	yes	9.67	2021-07-16	Set-up used (second denaturation was 15'') 2 cycles subtracted from qPCR suggestion	8	8	9.6692	1	1.4734	40	251		2021-07-23	20	2021-07-20	E8		3.5e-05Liter	
434	LAS GRUTAS (Buque Sur)	San Matías Gulf	Argentina	Río Negro	Las Grutas	-40.82021	-65.104732	nan	Nothing entered	1.0Unit	Updated from API	AR0365	Cristian Favier Dubois / Florencia Borella	BS III	(2195+49)*	C14 ??	NA	NA	Nothing entered	Nothing entered	1.0Unit	Updated from API	AR0365.1	Unknown	SanMatias_1aTanda	Petrous	Petrous	NR06	we don't know	noPicture	NA	NA	nan	1.0Unit	Updated from API	AR0365.1.01	Unknown	1900-01-01	Maria Lopopolo	Hannes Schroeder	petrous	no information about those	Nothing entered	maybe	yes	we don't know	100000.0	100000.0	10000000000.0	yes	Nothing entered	1000000.0Gram	Updated from API	AR0365.1.0100	Freezer 4, drawer 5, UDG-SCR libraries no... 2	Maria Lopopolo	2021-07-15	Copenhagen	partial	c2	not kept	50	30		3.5e-05Liter		AR0365.1.0101	Sequencing	Maria Lopopolo	Copenhagen	2021-07-21	yes	9.76	2021-07-16	Set-up used (second denaturation was 15'') 2 cycles subtracted from qPCR suggestion	9	8	111.3944	1	16.2505	40	240		2021-07-23	20	2021-07-20	F8		3.5e-05Liter	
435	LAS GRUTAS (Centro Minero)	San Matías Gulf	Argentina	Río Negro	Las Grutas	-40.770776	-65.03464	nan	Nothing entered	1.0Unit	Updated from API	AR0367	Cristian Favier Dubois / Florencia Borella	CM-Parador	1513+48	C14 ??	NA	NA	Nothing entered	Nothing entered	1.0Unit	Updated from API	AR0367.1	Unknown	SanMatias_1aTanda	Petrous	Petrous	NR08	we don't know	noPicture	NA	NA	nan	1.0Unit	Updated from API	AR0367.1.01	Unknown	1900-01-01	Maria Lopopolo	Hannes Schroeder	petrous	no information about those	Nothing entered	maybe	yes	we don't know	100000.0	100000.0	10000000000.0	yes	Nothing entered	1000000.0Gram	Updated from API	AR0367.1.0100	Freezer 4, drawer 5, UDG-SCR libraries no... 2	Maria Lopopolo	2021-07-15	Copenhagen	partial	c4	not kept	50	30		3.5e-05Liter		AR0367.1.0101	Sequencing	Maria Lopopolo	Copenhagen	2021-07-21	yes	0	2021-07-16	Set-up used (second denaturation was 15'') qPCR failed used 10 cycles for indexing (median of cycles)	50	10	72.3763	1	10.5953	40	241		2021-07-23	20	2021-07-22	B12		3.5e-05Liter	
436	LAS GRUTAS (Centro Minero)	San Matías Gulf	Argentina	Río Negro	Las Grutas	-40.770776	-65.03464	nan	Nothing entered	1.0Unit	Updated from API	AR0371	Cristian Favier Dubois / Florencia Borella	CM-Criadero	689+44	C14 ??	NA	NA	Nothing entered	Nothing entered	1.0Unit	Updated from API	AR0371.1	Unknown	SanMatias_1aTanda	Petrous	Petrous	NR12	we don't know	noPicture	NA	NA	nan	1.0Unit	Updated from API	AR0371.1.01	Unknown	1900-01-01	Maria Lopopolo	Hannes Schroeder	petrous	no information about those	Nothing entered	maybe	yes	we don't know	100000.0	100000.0	10000000000.0	yes	Nothing entered	1000000.0Gram	Updated from API	AR0371.1.0100	Freezer 4, drawer 5, UDG-SCR libraries no... 2	Maria Lopopolo	2021-07-15	Copenhagen	partial	c5	not kept	50	30		3.5e-05Liter		AR0371.1.0101	Sequencing	Maria Lopopolo	Copenhagen	2021-07-21	yes	13.64	2021-07-16	Set-up used (second denaturation was 15'') 2 cycles subtracted from qPCR suggestion	62	12	15.6254	1	1.8517	40	195		2021-07-23	20	2021-07-20	C9		3.5e-05Liter	
437	La Aguadita-Los Berros	San Juan	Argentina	San Juan	nan	nan	nan	-	Nothing entered	1.0Unit	Updated from API	AR0301	Gustavo Neme / Fito Gil / Eva Peralta	2480/1-Cuerpo 2	Tardío (from ind spreadsheet)	NA	5-9.9 años (niño)	NA	Nothing entered	Nothing entered	1.0Unit	Updated from API	AR0301.1	In Copenhagen	/pasteur/entites/metapaleo/Research/ERC-project/Samples/ExportPermits/GilNemePeralta/EX-2021-12182773_and_EX-2021-21974530	Tooth	Tooth	LALB-B2-1	NA	/pasteur/gaia/entites/metapaleo/Research/ERC-project/Samples/pictures/NemeGilPerralta/EX-2021-1218773_EX-202-21974530/SanJuan/AR0301	NA	NA	"/Sarmiento
Comment from Drilling Session: small incisive, some dirt"	1.0Unit	Updated from API	AR0301.1.01	Hannes Freezer, bag Mix batch, mix batch Peralta San Juan root extraction	2021-10-20	Maria Lopopolo	Hannes Schroeder	root apex	none	Nothing entered	no	yes	Nothing entered	Nothing entered	Nothing entered	Nothing entered	NA	nan	0.074Gram	nan	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
438	La Aguadita-Los Berros	San Juan	Argentina	San Juan	nan	nan	nan	-	Nothing entered	1.0Unit	Updated from API	AR0301	Gustavo Neme / Fito Gil / Eva Peralta	2480/1-Cuerpo 2	Tardío (from ind spreadsheet)	NA	5-9.9 años (niño)	NA	Nothing entered	Nothing entered	1.0Unit	Updated from API	AR0301.2	With Lumila	/pasteur/entites/metapaleo/Research/ERC-project/Samples/ExportPermits/GilNemePeralta/EX-2021-12182773_and_EX-2021-21974530	Petrous	Petrous	LALB-B2-2	NA	/pasteur/gaia/entites/metapaleo/Research/ERC-project/Samples/pictures/NemeGilPerralta/EX-2021-1218773_EX-202-21974530/SanJuan/AR0301	NA	NA	/Sarmiento	1.0Unit	Updated from API	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
439	La Aguadita-Los Berros	San Juan	Argentina	San Juan	nan	nan	nan	-	Nothing entered	1.0Unit	Updated from API	AR0302	Gustavo Neme / Fito Gil / Eva Peralta	2480/1-Cuerpo 3	Tardío (from ind spreadsheet)	NA	1-4.9 (infantil)	NA	Nothing entered	Nothing entered	1.0Unit	Updated from API	AR0302.1	With Lumila	/pasteur/entites/metapaleo/Research/ERC-project/Samples/ExportPermits/GilNemePeralta/EX-2021-12182773_and_EX-2021-21974530	Petrous	Petrous	LALB-B3	NA	/pasteur/gaia/entites/metapaleo/Research/ERC-project/Samples/pictures/NemeGilPerralta/EX-2021-1218773_EX-202-21974530/SanJuan/AR0302.1	NA	NA	/Sarmiento	1.0Unit	Updated from API	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
440	La Aguadita-Los Berros	San Juan	Argentina	San Juan	nan	nan	nan	-	Nothing entered	1.0Unit	Updated from API	AR0303	Gustavo Neme / Fito Gil / Eva Peralta	2480/1-Cuerpo 4	Tardío (from ind spreadsheet)	NA	>20 años (adulto)	NA	Nothing entered	Nothing entered	1.0Unit	Updated from API	AR0303.1	In Copenhagen	/pasteur/entites/metapaleo/Research/ERC-project/Samples/ExportPermits/GilNemePeralta/EX-2021-12182773_and_EX-2021-21974530	Tooth	Tooth	LALB-B4-1	NA	/pasteur/gaia/entites/metapaleo/Research/ERC-project/Samples/pictures/NemeGilPerralta/EX-2021-1218773_EX-202-21974530/SanJuan/AR0303	NA	NA	"/Sarmiento
Comment from Drilling Session: dirt, dark colour on root, brittle tooth, bad preservation"	1.0Unit	Updated from API	AR0303.1.01	Hannes Freezer, bag Mix batch, mix batch Peralta San Juan calculus extraction	2021-10-20	Maria Lopopolo	Hannes Schroeder	dental calculus	very little on one side of tooth	Nothing entered	NA	yes	Nothing entered	Nothing entered	Nothing entered	Nothing entered	NA	nan	0.002Gram	nan	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
441	La Aguadita-Los Berros	San Juan	Argentina	San Juan	nan	nan	nan	-	Nothing entered	1.0Unit	Updated from API	AR0303	Gustavo Neme / Fito Gil / Eva Peralta	2480/1-Cuerpo 4	Tardío (from ind spreadsheet)	NA	>20 años (adulto)	NA	Nothing entered	Nothing entered	1.0Unit	Updated from API	AR0303.1	In Copenhagen	/pasteur/entites/metapaleo/Research/ERC-project/Samples/ExportPermits/GilNemePeralta/EX-2021-12182773_and_EX-2021-21974530	Tooth	Tooth	LALB-B4-1	NA	/pasteur/gaia/entites/metapaleo/Research/ERC-project/Samples/pictures/NemeGilPerralta/EX-2021-1218773_EX-202-21974530/SanJuan/AR0303	NA	NA	"/Sarmiento
Comment from Drilling Session: dirt, dark colour on root, brittle tooth, bad preservation"	1.0Unit	Updated from API	AR0303.1.02	Hannes Freezer, bag Mix batch, mix batch Peralta San Juan root extraction	2021-10-20	Maria Lopopolo	Hannes Schroeder	root apex	a little scraped off during decon	Nothing entered	NA	yes	Nothing entered	Nothing entered	Nothing entered	Nothing entered	NA	nan	0.2Gram	nan	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
442	La Aguadita-Los Berros	San Juan	Argentina	San Juan	nan	nan	nan	-	Nothing entered	1.0Unit	Updated from API	AR0303	Gustavo Neme / Fito Gil / Eva Peralta	2480/1-Cuerpo 4	Tardío (from ind spreadsheet)	NA	>20 años (adulto)	NA	Nothing entered	Nothing entered	1.0Unit	Updated from API	AR0303.2	With Lumila	/pasteur/entites/metapaleo/Research/ERC-project/Samples/ExportPermits/GilNemePeralta/EX-2021-12182773_and_EX-2021-21974530	Petrous	Petrous	LALB-B4-2	NA	/pasteur/gaia/entites/metapaleo/Research/ERC-project/Samples/pictures/NemeGilPerralta/EX-2021-1218773_EX-202-21974530/SanJuan/AR0303	NA	NA	/Sarmiento	1.0Unit	Updated from API	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
443	La Aguadita-Los Berros	San Juan	Argentina	San Juan	nan	nan	nan	-	Nothing entered	1.0Unit	Updated from API	AR0304	Gustavo Neme / Fito Gil / Eva Peralta	2480/1-Cuerpo 5	Tardío (from ind spreadsheet)	NA	>20 años (adulto)	NA	Nothing entered	Nothing entered	1.0Unit	Updated from API	AR0304.1	In Copenhagen	/pasteur/entites/metapaleo/Research/ERC-project/Samples/ExportPermits/GilNemePeralta/EX-2021-12182773_and_EX-2021-21974530	Tooth	Tooth	LALB-B5-1	NA	/pasteur/gaia/entites/metapaleo/Research/ERC-project/Samples/pictures/NemeGilPerralta/EX-2021-1218773_EX-202-21974530/SanJuan/AR0304	NA	NA	"/Sarmiento
Comment from Drilling Session: dirt"	1.0Unit	Updated from API	AR0304.1.01	Hannes Freezer, bag Mix batch, mix batch Peralta San Juan root extraction	2021-10-20	Maria Lopopolo	Hannes Schroeder	root apex	a little globous apex	Nothing entered	maybe	yes	Nothing entered	Nothing entered	Nothing entered	Nothing entered	NA	nan	0.215Gram	nan	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
444	La Aguadita-Los Berros	San Juan	Argentina	San Juan	nan	nan	nan	-	Nothing entered	1.0Unit	Updated from API	AR0304	Gustavo Neme / Fito Gil / Eva Peralta	2480/1-Cuerpo 5	Tardío (from ind spreadsheet)	NA	>20 años (adulto)	NA	Nothing entered	Nothing entered	1.0Unit	Updated from API	AR0304.2	With Lumila	/pasteur/entites/metapaleo/Research/ERC-project/Samples/ExportPermits/GilNemePeralta/EX-2021-12182773_and_EX-2021-21974530	Petrous	Petrous	LALB-B5-2	NA	/pasteur/gaia/entites/metapaleo/Research/ERC-project/Samples/pictures/NemeGilPerralta/EX-2021-1218773_EX-202-21974530/SanJuan/AR0304	broken into 2 pieces	NA	/Sarmiento	1.0Unit	Updated from API	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
445	La Aguadita-Los Berros	San Juan	Argentina	San Juan	nan	nan	nan	-	Nothing entered	1.0Unit	Updated from API	AR0305	Gustavo Neme / Fito Gil / Eva Peralta	2480/1-Cuerpo 8	Tardío (from ind spreadsheet)	NA	>20 años (adulto)	NA	Nothing entered	Nothing entered	1.0Unit	Updated from API	AR0305.1	In Copenhagen	/pasteur/entites/metapaleo/Research/ERC-project/Samples/ExportPermits/GilNemePeralta/EX-2021-12182773_and_EX-2021-21974530	Tooth	Tooth	LALB-B8	NA	/pasteur/gaia/entites/metapaleo/Research/ERC-project/Samples/pictures/NemeGilPerralta/EX-2021-1218773_EX-202-21974530/SanJuan/AR0305.1	NA	NA	"/Sarmiento
Comment from Drilling Session: lots of dirt"	1.0Unit	Updated from API	AR0305.1.01	Hannes Freezer, bag Mix batch, mix batch Peralta San Juan root extraction	2021-10-20	Maria Lopopolo	Hannes Schroeder	root apex	none	Nothing entered	no	yes	Nothing entered	Nothing entered	Nothing entered	Nothing entered	NA	nan	0.155Gram	nan	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
446	La Puntilla	San Juan	Argentina	San Juan	nan	-31.54	-68.3	-	Nothing entered	1.0Unit	Updated from API	AR0316	Gustavo Neme / Fito Gil / Eva Peralta	2175/1-LaPuntilla	740 (from ind spreadsheet)	NA	>20 años (adulto)	NA	Nothing entered	Nothing entered	1.0Unit	Updated from API	AR0316.1	In Copenhagen	/pasteur/entites/metapaleo/Research/ERC-project/Samples/ExportPermits/GilNemePeralta/EX-2021-12182773_and_EX-2021-21974530	Tooth	Tooth	LPu-I1-1	NA	/pasteur/gaia/entites/metapaleo/Research/ERC-project/Samples/pictures/NemeGilPerralta/EX-2021-1218773_EX-202-21974530/SanJuan/AR0316	probably carrie	NA	"/San Martín
Comment from Drilling Session: big caries, nice calculus, better quality tooth better preserved"	1.0Unit	Updated from API	AR0316.1.01	Hannes Freezer, bag B1 + B2, calculus extraction	2021-10-08	Maria Lopopolo	Hannes Schroeder	dental calculus	some calculus came off upon decontamination but still collected successfully and decontaminated too, good calculus arund rim between gum and CEJ, see picture with tweezer pointing out the part from where the calculus came off	Nothing entered	yes	yes	Nothing entered	Nothing entered	Nothing entered	Nothing entered	NA	nan	0.009Gram	nan	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
447	La Puntilla	San Juan	Argentina	San Juan	nan	-31.54	-68.3	-	Nothing entered	1.0Unit	Updated from API	AR0316	Gustavo Neme / Fito Gil / Eva Peralta	2175/1-LaPuntilla	740 (from ind spreadsheet)	NA	>20 años (adulto)	NA	Nothing entered	Nothing entered	1.0Unit	Updated from API	AR0316.1	In Copenhagen	/pasteur/entites/metapaleo/Research/ERC-project/Samples/ExportPermits/GilNemePeralta/EX-2021-12182773_and_EX-2021-21974530	Tooth	Tooth	LPu-I1-1	NA	/pasteur/gaia/entites/metapaleo/Research/ERC-project/Samples/pictures/NemeGilPerralta/EX-2021-1218773_EX-202-21974530/SanJuan/AR0316	probably carrie	NA	"/San Martín
Comment from Drilling Session: big caries, nice calculus, better quality tooth better preserved"	1.0Unit	Updated from API	AR0316.1.02	Hannes Freezer, bag B1 + B2, pulp extraction	2021-10-08	Maria Lopopolo	Hannes Schroeder	root apex	none	Nothing entered	yes	yes	Nothing entered	Nothing entered	Nothing entered	Nothing entered	NA	nan	0.067Gram	nan	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
448	La Puntilla	San Juan	Argentina	San Juan	nan	-31.54	-68.3	-	Nothing entered	1.0Unit	Updated from API	AR0316	Gustavo Neme / Fito Gil / Eva Peralta	2175/1-LaPuntilla	740 (from ind spreadsheet)	NA	>20 años (adulto)	NA	Nothing entered	Nothing entered	1.0Unit	Updated from API	AR0316.2	Nico office	/pasteur/entites/metapaleo/Research/ERC-project/Samples/ExportPermits/GilNemePeralta/EX-2021-12182773_and_EX-2021-21974530	Petrous	Petrous	LPu-I1-2	NA	/pasteur/gaia/entites/metapaleo/Research/ERC-project/Samples/pictures/NemeGilPerralta/EX-2021-1218773_EX-202-21974530/SanJuan/AR0316	NA	NA	/San Martín	1.0Unit	Updated from API	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
449	La Tigra	Pampa Atlántica	Argentina	Buenos Aires	Mar del Sur	-38.988475	-61.339923	NA	None	1.0Unit	None	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
450	Laguna Blanca	Southern Mendoza	Argentina	Mendoza	nan	-35.1	-69.63	Aislado	Nothing entered	1.0Unit	Updated from API	AR0346	Gustavo Neme / Fito Gil / Eva Peralta	Laguna Blanca-Cráneo 5	- (from site spreadsheet)	NA	>20 años (adulto)	NA	Nothing entered	Nothing entered	1.0Unit	Updated from API	AR0346.1	In Copenhagen	/pasteur/entites/metapaleo/Research/ERC-project/Samples/ExportPermits/GilNemePeralta/EX-2021-18671622	Tooth	Tooth	LaBl-S5-1	NA	/pasteur/gaia/entites/metapaleo/Research/ERC-project/Samples/pictures/NemeGilPerralta/EX-2021-11921165/Malargue/AR0346	NA	NA	"/
Comment from Drilling Session: full of dirt, big molar, discoloured, something stuck in between roots, one root intact, discolouration of roots may be due to dirt entering inside
Comment from Drilling Session: full of dirt, big molar, discoloured, something stuck in between roots, one root intact, discolouration of roots may be due to dirt entering inside"	1.0Unit	Updated from API	AR0346.1.01	Hannes Freezer, bag B1 + B2, root extraction	2021-10-04	Maria Lopopolo	Hannes Schroeder	root apex	looked intact but may have dirt so did decontamination again after cutting the piece off incluing 1 min each side in UV light	Nothing entered	maybe	yes	Nothing entered	Nothing entered	Nothing entered	Nothing entered	NA	nan	0.076Gram	nan	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
451	Laguna Blanca	Southern Mendoza	Argentina	Mendoza	nan	-35.1	-69.63	Aislado	Nothing entered	1.0Unit	Updated from API	AR0346	Gustavo Neme / Fito Gil / Eva Peralta	Laguna Blanca-Cráneo 5	- (from site spreadsheet)	NA	>20 años (adulto)	NA	Nothing entered	Nothing entered	1.0Unit	Updated from API	AR0346.2	With Lumila	/pasteur/entites/metapaleo/Research/ERC-project/Samples/ExportPermits/GilNemePeralta/EX-2021-18671622	Petrous	Petrous	LaBl-S5-2	NA	/pasteur/gaia/entites/metapaleo/Research/ERC-project/Samples/pictures/NemeGilPerralta/EX-2021-11921165/Malargue/AR0346	NA	NA	/	1.0Unit	Updated from API	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
452	Laguna del Diamante Sitio 13	Andean Highlands / Northern Mendoza	Argentina	Mendoza	Laguna del Diamante	-34.2323	-69.70235	rockshelter	Nothing entered	1.0Unit	Updated from API	AR0156	Ramiro Barberena	1	NA	NA	35-49	NA	Nothing entered	Nothing entered	1.0Unit	Updated from API	AR0156.1	In Copenhagen	/pasteur/entites/metapaleo/Research/ERC-project/Samples/ExportPermits/RamiroBarberena/EX-2021-18124171	Tooth	M2d Md	LD1	longitudinal cut, crown broke when cutting, crown very shallow will be difficult very good calculus, althouhg the weight of true calculus seems to be very light bc non-dense, FULL of CARIES, black spots all over the places, black crown, sampled a part of root that is black	/pasteur/gaia/entites/metapaleo/Research/ERC-project/Samples/pictures/RamiroBarbarena/EX-2021-18124171/LagunaDelDiamante/AR0156.1	Black dots everywhere	/pasteur/entites/metapaleo/Research/ERC-project/Samples/pictures/Drilling/AR0156.1	ongitudinal cut, crown broke when cutting, crown very shallow will be difficult very good calculus, althouhg the weight of true calculus seems to be very light bc non-dense, FULL of CARIES, black spots all over the places, black crown, sampled a part of root that is black	1.0Unit	Updated from API	AR0156.1.01	Tom Gilbert Freezer, bag A1 + A2, calculus extraction	2021-05-20	Maria Lopopolo	Hannes Schroeder	dental calculus	VERY GOOD	Nothing entered	yes	yes	Nothing entered	Nothing entered	Nothing entered	Nothing entered	NA	Nothing entered	0.0055Gram	Nothing entered	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
